時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2017/2/23 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/2/23 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/3/1 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/3/2 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/3/2 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/3/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/5/11 上午 12:00:00,近洋航線,出港,卸貨,E004紐澳航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/2/15 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/2/17 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/2/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/2/22 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
